Episode number, Episode reward
51,-2053.4047091443435
52,-2152.065097050865
53,-2119.7713923099564
54,-2104.2179900594406
55,-2002.3544953354465
56,-2208.9069596391228
57,-2151.730460428068
58,-1960.2646570965678
59,-2094.941892494908
60,-2212.901929682714
61,-2078.232143295151
62,-2034.4358071682393
63,-1449.6431946305372
64,-1962.2971515526908
65,-1985.080228757234
66,-2090.585165589391
67,-1988.1244336975333
68,-2175.348345793189
69,-2137.1130991738996
70,-1953.9523804912453
71,-1866.5434197334243
72,-1796.037537377778
73,-2047.1036999754674
74,-1921.3019848675424
75,-1949.8754732110374
76,-2023.6676454045325
77,-1333.492939432781
78,-1888.09560170478
79,-1938.5278621637417
80,-2041.8134271317424
81,-1959.900745168141
82,-2071.4969816295093
83,-2040.9032786716004
84,-1218.4577711012896
85,-1937.6815261932848
86,-1908.8200097749877
87,-1291.060827495944
88,-1974.2972111059469
89,-1781.221128035167
90,-1473.8119089285806
91,-1370.2304839165474
92,-1167.7103029432762
93,-1379.5281549776334
94,-1341.5203252872307
95,-1918.7974012450384
96,-2047.4708475000718
97,-1437.2100266690225
98,-2093.8697702988006
99,-1489.1342311865112
100,-1325.434799742085
101,-1840.694766546112
102,-1373.81086155567
103,-1175.199204479064
104,-1171.0128976999765
105,-2096.3429091780613
106,-1335.7865320172484
107,-1869.9907533734179
108,-2011.8975881002555
109,-1743.5713287290746
110,-2008.8179137805678
111,-1281.7212914740753
112,-1252.2021898597425
113,-1590.3821354996496
114,-2144.874158903411
115,-1119.2047712973758
116,-1746.7018520627423
117,-1938.605487601695
118,-2147.276417055753
119,-1369.9589391378117
120,-2115.349380433789
121,-1270.1197216392457
122,-1372.8873122061505
123,-1956.208991460144
124,-2008.749147625791
125,-2237.5776441666317
126,-2048.8757930535794
127,-2126.9250417535754
128,-1336.908395232787
129,-2235.8337940192223
130,-2060.5842955640474
131,-1513.1520687396887
132,-2046.2076795613395
133,-2104.9912326035483
134,-1306.6220882935702
135,-2073.3790579994893
136,-2226.073678236792
137,-1006.3232708850657
138,-1421.9851282881743
139,-2116.0604170256356
140,-1331.2495426076032
141,-1381.7900837389525
142,-2269.082404764407
143,-1412.7548962870937
144,-2191.7632666552263
145,-1279.7267375122594
146,-1038.2743859085745
147,-1469.4503097033255
148,-2276.8180153232424
149,-1438.2070746043637
150,-1693.7108777690398
151,-1373.010829977424
152,-1317.7037634711403
153,-1825.2186910964779
154,-2126.6362170442403
155,-1602.1776485213481
156,-1516.3113274070404
157,-1955.9299113031198
158,-1365.4261092362094
159,-1407.0991321831307
160,-1298.023066196449
161,-1919.1697435765566
162,-1863.2505102157954
163,-1060.9448232733725
164,-2261.6607243511626
165,-1583.9469575647229
166,-1968.6056097123528
167,-1430.221669443975
168,-1234.6284876956036
169,-2024.340308389075
170,-2012.900963114981
171,-2290.7870684739173
172,-2195.194815143606
173,-1535.8099995617924
174,-1355.838593036919
175,-2035.6408019117964
176,-1974.959026665774
177,-1872.274863651501
178,-2012.3751273453672
179,-2171.596260474949
180,-1321.0286599430433
181,-1921.1411928588282
182,-1374.2207351817683
183,-1239.2502690246602
184,-1651.1201110881138
185,-1997.0885072773842
186,-2110.7849271992227
187,-1442.3197359300807
188,-1252.295908277025
189,-2078.9475776747868
190,-1593.8722573050188
191,-1456.1335827958328
192,-1526.1242713720967
193,-1307.7051545245656
194,-2116.9377052826467
195,-1472.3204021259328
196,-1753.845457024854
